"Name";"URL"
"Atos.RunbookAutomation";".blob.core.windows.net/runbookartifacts/Modules/Atos.RunbookAutomation.zip"
"Atos.AlertingEvaniosIntegration";".blob.core.windows.net/runbookartifacts/Modules/Atos.AlertingEvaniosIntegration/Atos.AlertingEvaniosIntegration.zip"
